osm_id,other_tags
5973385,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Palmer"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5973528,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Potomac Oak"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""no"""
5973722,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Palmer"",""tiger:name_direction_suffix""=>""N"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5973788,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Yorkshire Woods"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""20906"""
5973830,"""access""=>""private"",""bridge""=>""yes"",""layer""=>""1"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Palmer"",""tiger:name_direction_suffix""=>""S"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5973964,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Chase Crossing"",""tiger:name_type""=>""Cir"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""20852"",""tiger:zip_right""=>""20852"""
5974510,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Van Reypen"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""20814"",""tiger:zip_right""=>""20814"""
5976995,"""access""=>""private"",""service""=>""driveway"""
5977001,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Brooke Grove"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5977236,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""East Palmer"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5978102,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Beale"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5978323,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Bates"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5978730,"""access""=>""private"",""oneway""=>""no"",""surface""=>""asphalt"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Elkhart"",""tiger:name_type""=>""St"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""20910"",""tiger:zip_right""=>""20910"""
5978950,"""access""=>""private"",""service""=>""driveway"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Brooks"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""20853"",""tiger:zip_right""=>""20853"""
5979704,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Bel Pre"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5979943,"""access""=>""private"",""service""=>""parking_aisle"",""surface""=>""asphalt"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Glenville"",""tiger:name_type""=>""Rd"""
5979946,"""access""=>""private"",""service""=>""driveway"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Gilchrist"",""tiger:name_type""=>""Ct"",""tiger:reviewed""=>""no"""
5982773,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Taylor"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5982774,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Taylor"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5983528,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Robert Grant"",""tiger:name_type""=>""Ave"""
5984300,"""access""=>""private"",""oneway""=>""no"",""surface""=>""asphalt"""
